Districts,Score,Months
District 1,10,October
District 2,5,October
District 3,7,October
District 4,8,October
District 5,3,October
District 6,5,October
District 7,4,October
District 8,1,October
District 1,12,November
District 2,14,November
District 3,5,November
District 4,5,November
District 5,6,November
District 6,8,November
District 7,10,November
District 8,12,November
District 1,14,December
District 2,2,December
District 3,1,December
District 4,0,December
District 5,9,December
District 6,4,December
District 7,6,December
District 8,5,December
District 1,4,January
District 2,1,January
District 3,10,January
District 4,8,January
District 5,7,January
District 6,12,January
District 7,11,January
District 8,1,January
